Tip ustanove,Naziv ustanove:,Adresa ustanove:,Longitude,Latitude
Ustanova osnovnog školstva,Osnovna škola Sv. Klara,Miroslava Mekše 42,15.969324,45.755613
Ustanova osnovnog školstva,Osnovna škola Tituša Brezovačkog,Špansko 1,15.898674,45.801351
Ustanova osnovnog školstva,Osnovna škola Ive Andrića,M. Kovačevića 18,15.98596,45.77363
Ustanova osnovnog školstva,Osnovna škola Ante Kovačića,Kotarnica 17,15.89299,45.803375
Ustanova osnovnog školstva,Osnovna škola Stenjevec,Zagreb; Bolnička 92,15.88303,45.81914
Ustanova osnovnog školstva,Osnovna škola Cvjetno naselje,CVJETNA CESTA 17,15.963299,45.791355
Ustanova osnovnog školstva,Osnovna škola Matije Gupca,Davorina Bazjanca 2,15.950270,45.792978
Ustanova osnovnog školstva,Osnovna Škola Otona Ivekovića,Zagreb; Stjepana Pasanca bb,15.920952,45.809956
Ustanova osnovnog školstva,Osnovna škola Petra Zrinskog,Krajiška 9; Zagreb,15.958776,45.812032
Ustanova osnovnog školstva,Osnovna škola Bukovac,TRNAC 42,16.010706,45.838065
Ustanova osnovnog školstva,Osnovna škola Dr. Ante Starčevića,Zagreb; Sv. Leopolda Mandića 55,16.044023,45.831475
Ustanova osnovnog školstva,Osnovna škola Vjenceslava Novaka,Vile Velebita 15A,16.059673,45.83883
Ustanova osnovnog školstva,Osnovna škola Dr. Vinka Žganca,KOZARI BOK; IX. ODVOJAK BB,16.050084,45.794445
Ustanova osnovnog školstva,Osnovna škola Ivana Gorana Kovačića,Zagreb; Mesićeva 35,15.984682,45.8235
Ustanova osnovnog školstva,Osnovna Škola Jordanovac,Jordanovac 108; Zagreb,16.000946,45.826922
Ustanova osnovnog školstva,Osnovna škola Tina Ujevića,Koturaška cesta 75; Zagreb,15.964798,45.802422
Ustanova osnovnog školstva,Osnovna škola Dragutina Tadijanovića,Bolnička 60A; Zagreb,15.890173,45.817896
Ustanova osnovnog školstva,Osnovna škola Ivana Mažuranića,JAVORINSKA BR.1; ZAGREB,16.049783,45.825935
Ustanova osnovnog školstva,Osnovna škola Sesvetska Sopnica,Sesvete; Sopnička 69,16.092212,45.821614
Ustanova osnovnog školstva,Osnovna škola Zapruđe,ZAGREB; MEŠTROVIĆEV TRG 8A,15.995235,45.780389
Ustanova osnovnog školstva,Osnovna škola OTOK,Zagreb; Gradićeva 4,15.986517,45.765936
Ustanova osnovnog školstva,Osnovna škola Sesvete,IVANA GORANA KOVAČIĆA 19,16.11747,45.829226
Ustanova osnovnog školstva,Osnovna škola Antuna Branka Šimića,10 040 ZAGREB; Krotovica 15,16.06652,45.833315
Ustanova osnovnog školstva,Osnovna škola Nikole Tesle,Matetićeva 67  ; Zagreb,15.897759,45.794293
Ustanova osnovnog školstva,Osnovna škola Medvedgrad,Strma cesta 15,15.936377,45.822239
Ustanova osnovnog školstva,Osnovna škola Dragutina Kušlana,KUŠLANOVA 52,16.007663,45.812573
Ustanova osnovnog školstva,Osnovna glazbena škola Rudolfa Matza,Zagreb; Selska cesta 114,15.943095,45.798361
Ustanova osnovnog školstva,Osnovna škola Frana Galovića,Školski prilaz bb - Dugave,15.995144,45.764288
Ustanova osnovnog školstva,Osnovna škola Špansko Oranice,Dječji trg 1,15.904422,45.799348
Ustanova osnovnog školstva,Osnovna škola Mate Lovraka,Aleja Blaža Jurišića 13,16.0529,45.835051
Ustanova osnovnog školstva,Osnovna škola Žuti brijeg,Vrtnjakovečka 2,16.034403,45.839981
Ustanova osnovnog školstva,Osnovna škola Sesvetski Kraljevec,Školska 10; 10361 S. Kraljevec,16.177122,45.818418
Ustanova osnovnog školstva,Osnovna škola Prečko,Dekanići 6,15.904608,45.794468
Ustanova osnovnog školstva,Osnovna škola Grigora Viteza,ZAGREB;KRUGE 46,15.987251,45.798285
Ustanova osnovnog školstva,Osnovna škola Bartola Kašića,Vrisnička 4,15.92388,45.787018
Ustanova osnovnog školstva,Osnovna škola Većeslava Holjevca,Siget 23,15.971393,45.773312
Ustanova osnovnog školstva,Osnovna škola Remete,REMETE 99a ZAGREB,15.992588,45.847277
Ustanova osnovnog školstva,Osnovna škola Josipa Jurja Strossmayera,Zagreb; Varšavska 18,15.970632,45.811879 
Ustanova osnovnog školstva,Osnovna škola Mladost,KARAMANOV PRILAZ 3,15.999166,45.775822 
Ustanova osnovnog školstva,Osnovna škola Frana Krste Frankopana,IVANIĆ GRADSKA 24,16.017707,45.80769 
Ustanova osnovnog školstva,Osnovna škola Vrbani,Listopadska 8,15.917908,45.79373 
Ustanova osnovnog školstva,Osnovna škola Vukomerec,Zagreb; Porečka 7c,16.047892,45.808294 
Ustanova osnovnog školstva,Osnovna škola Kustošija,Sokolska 7; Zagreb,15.925888,45.81274 
Ustanova osnovnog školstva,Osnovna škola Jabukovac,Jabukovac 30,15.970792,45.823863 
Ustanova osnovnog školstva,Osnovna škola Julija Klovića,Nova cesta 133,15.956189,45.796823 
Ustanova osnovnog školstva,Osnovna škola Vugrovec - Kašina,Ivana Mažuranića 43; 10362 Kašina,16.124787,45.90646 
Ustanova osnovnog školstva,Osnovna škola Izidora Kršnjavoga,Kršnjavoga 2,15.966628,45.807635 
Ustanova osnovnog školstva,Osnovna škola Dr. Ivan Merz,Račkoga 4,15.984328,45.811307 
Ustanova osnovnog školstva,Osnovna škola Nad Lipom,Nad Lipom 13/1,15.950953,45.8136 
Ustanova osnovnog školstva,Osnovna škola Alojzija Stepinca,M. PUŠTEKA 1; ZAGREB,15.932932,45.788124 
Ustanova osnovnog školstva,Osnovna škola Markuševec,Markuševečka cesta 160,16.013411,45.874598 
Ustanova osnovnog školstva,Osnovna škola Gračani,Gračani 4a,15.973489,45.858844 
Ustanova osnovnog školstva,Osnovna škola Brestje - Sesvete,Potočnica 8,16.091572,45.83033 
Ustanova osnovnog školstva,Osnovna škola Luka,Otona Ivekovića 16,16.104512,45.829814 
Ustanova osnovnog školstva,Osnovna Škola Augusta Cesarca,II. Ferenčica 9a,15.977895,45.813029 
Ustanova osnovnog školstva,Osnovna škola Miroslava Krleže,Kaptol 16,15.977694,45.818513 
Ustanova osnovnog školstva,Osnovna škola Ivana Filipovića,Filipovićeva 1,15.998497,45.819178 
Ustanova osnovnog školstva,osnovna škola Vladimira Nazora,Jordanovac 23,16.006155,45.819705 
Ustanova osnovnog školstva,Osnovna škola Ivana Cankara,Cankareva 10,15.977895,45.813029 
Ustanova osnovnog školstva,Osnovna škola Augusta Harambašića,Harambašićeva 18; 10000 Zagreb,16.007616,45.815963 
Ustanova osnovnog školstva,Osnovna škola Ivana Granđe,SOBLINEČKA 68; 10360 SESVETE,16.155282,45.864582 
Ustanova osnovnog školstva,Osnovna škola Ljubljanica,Svetoivanska 33,15.933941,45.79497 
Ustanova osnovnog školstva,Osnovna škola Lovre pl. Matačića,Laurenčićeva bb,15.977895,45.813029 
Ustanova osnovnog školstva,Osnovna škola Dobriše Cesarića,Ksavera Šandora Đalskog 29,15.799028,45.870324 
Ustanova osnovnog školstva,Osnovna škola Žitnjak,I. Petruševec 1.,16.060701,45.774879 
Ustanova osnovnog školstva,Osnovna škola braće Radić,Šenoine Branke 22,15.9345,45.75481 
Ustanova osnovnog školstva,Osnovna škola Gustava Krkleca,B. Magovca 103,15.998489,45.770399 
Ustanova osnovnog školstva,Osnovna škola Ksavera Šandora Đalskog,MLINARSKA 35,15.977068,45.826281 
Ustanova osnovnog školstva,Osnovna škola Trnsko,Zagreb; Trnsko 25,15.96328,45.774199
Ustanova osnovnog školstva,Osnovna škola Pantovčak,HERCEGOVAČKA  108,15.959209,45.821699 
Ustanova osnovnog školstva,Osnovna škola Ivana Gundulića,Gundulićeva 23a; Zagreb,15.97287,45.809941 
Ustanova osnovnog školstva,Osnovna škola Borovje,Davora Zbiljskog 7,16.008881,45.787421 
Ustanova osnovnog školstva,Osnovna škola Malešnica,Ante Topića Mimare 36 Zagreb,15.901665,45.808048 
Ustanova osnovnog školstva,Osnovna škola Ivana Meštrovića,M. Pušteka 1,15.932932,45.788124 
Ustanova osnovnog školstva,Osnovna škola Retkovec,Aleja javora bb,15.977895,45.813029 
Ustanova osnovnog školstva,I.osnovna škola Dugave,Školski prilaz bb; Zagreb,15.977895,45.813029 
Ustanova osnovnog školstva,Osnovna Škola Jelkovec,Dragana Plamenca 1; 10360 Sesvete,16.112619,45.812004 
Ustanova osnovnog školstva,Osnovna škola Matka Laginje,Laginjina 13; 10000 Zagreb,15.991963,45.812931 
Ustanova osnovnog školstva,Osnovna škola Josipa Račića,Zagreb; Srednjaci bb,15.977895,45.813029 
Ustanova osnovnog školstva,Osnovna škola Bana Josipa Jelačića,10090 Zagreb; Podgradski odvojak 1,15.833119,45.817399 
Ustanova osnovnog školstva,Osnovna škola Gornje Vrapče,Vrapčanska 188.; Zagreb,15.904135,45.832666 
Ustanova osnovnog školstva,Osnovna škola Davorina Trstenjaka,Zagreb; Krčka 3,15.973555,45.797997 
Ustanova osnovnog školstva,Osnovna škola Trnjanska,TRNJANSKA C. 99 ZAGREB,15.980456,45.793025 
Ustanova osnovnog školstva,Osnovna škola Odra,Đačka 5,15.996464,45.735091 
Ustanova osnovnog školstva,Osnovna škola Brezovica,Brezovička c. 98 a,15.926658,45.752796 
Ustanova osnovnog školstva,Osnovna škola za balet i ritmiku,Zagorska 16,15.943287,45.807025 
Ustanova osnovnog školstva,Osnovna škola Lučko,Puškarićeva 102,15.896934,45.759813 
Ustanova osnovnog školstva,Osnovna škola Kralja Tomislava,Nova cesta 92,15.955099,45.801497 
Ustanova osnovnog školstva,Osnovna škola Pavleka Miškine,Sveti Duh 24,15.942389,45.815192 
Ustanova osnovnog školstva,Osnovna škola Čučerje,čučerska cesta 382,16.059787,45.89255 
Ustanova osnovnog školstva,Osnovna škola Rapska,Zagreb; Rapska 3,16.002734,45.799174 
Ustanova osnovnog školstva,Osnovna škola Antuna Mihanovića,Dubečka 5,16.077937,45.82982 
Ustanova osnovnog školstva,Osnovna škola Augusta Šenoe,Selska cesta 95,15.943492,45.802494 
Ustanova osnovnog školstva,Osnovna škola Jure Kaštelana,Vladimira Ruždjaka 2a,15.992449,45.789831 
Ustanova osnovnog školstva,Osnovna škola Granešina,GRANEŠINA 1,16.053854,45.848893 
Ustanova osnovnog školstva,Osnovna škola Marina Držića,Nalješkovićeva 4,15.993313,45.797524 
Ustanova osnovnog školstva,Osnovna škola  Antuna Gustava Matoša,A.A. Augustinčića 12,16.026082,45.818619 
Ustanova osnovnog školstva,Osnovna škola Horvati,Horvaćanska 6; Zagreb,15.953047,45.787526 
Ustanova osnovnog školstva,Osnovna škola Sesvetska Sela,Letnička 5; 10360 Sesvete; Zagreb,16.135034,45.830892 
Ustanova osnovnog školstva,Osnovna škola Rudeš,Jablanska 51; Zagreb,15.917559,45.796943
Ustanova osnovnog školstva,Osnovna škola Grofa Janka Draškovića,Vrapčanska 7,15.903186,45.811705 
Ustanova osnovnog školstva,Osnovna škola Voltino,Vinkovačka 1,15.927693,45.802545 
Ustanova osnovnog školstva,oš šestine,podrebernica 13,15.95718,45.852135 
Ustanova osnovnog školstva,OŠ STJEPANA BENCEKOVIĆA,HORVAĆANSKI TRG 1,15.977895,45.813029 
Ustanova osnovnog školstva,CENTAR ZA AUTIZAM,DVORNIČIĆEVA 6; ZAGREB,15.980879,45.819549 
Ustanova osnovnog školstva,osnovna škola Savski Gaj,remetinečka cesta 64a,15.951835,45.775117
